deso,year,Quartile 1,Quartile 2,Quartile 3,Quartile 4,Median value,Mean value,total
2480B2010,2022,17,34,27,22,290.0,332.7,2246
2480B2020,2022,11,32,36,21,304.0,330.3,1953
2480B2030,2022,15,32,31,22,297.1,333.3,2144
2480B2040,2022,32,30,25,13,258.9,281.4,1954
2480B3010,2022,18,36,28,17,278.6,310.4,1580
2480B3020,2022,14,37,29,19,288.2,320.2,1561
2480B4010,2022,26,35,26,13,262.8,296.3,1321
2480B4020,2022,17,33,31,19,292.0,319.0,1333
2480B5010,2022,7,33,39,22,313.7,351.2,1394
2480C1010,2022,11,29,32,28,318.9,505.8,1358
2480C1020,2022,21,27,29,22,295.0,379.5,2173
2480C1030,2022,13,17,29,41,366.1,444.0,2294
2480C1040,2022,17,29,31,23,303.9,343.1,2560
2480C1050,2022,34,27,23,15,256.1,288.2,1824
2480C1060,2022,23,25,26,27,299.7,350.6,1845
2480C1070,2022,51,28,16,5,211.5,226.1,1756
2480C1080,2022,20,27,28,25,301.8,364.3,2392
2480C1090,2022,27,31,27,15,269.4,292.9,3519
2480C1100,2022,7,29,36,29,322.5,386.6,2498
2480C1110,2022,62,21,12,6,187.4,201.0,1703
2480C1120,2022,64,24,11,1,181.5,189.2,2313
2480C1130,2022,18,33,29,20,288.8,317.9,1891
2480C1140,2022,22,24,26,29,306.3,364.7,2156
2480C1150,2022,16,27,30,27,313.1,396.5,1744
2480C1160,2022,69,19,8,4,179.0,197.5,2222
2480C1170,2022,19,26,25,31,310.7,363.5,2153
2480C1180,2022,34,34,23,9,246.1,263.7,1862
2480C1190,2022,25,26,27,22,288.9,321.9,1910
2480C1200,2022,50,26,15,9,214.6,246.4,1656
2480C1210,2022,23,27,23,26,290.7,350.1,1699
2480C1220,2022,25,25,23,27,293.0,378.4,1902
2480C1230,2022,50,28,14,7,212.2,235.8,1963
2480C1240,2022,44,25,20,11,231.0,246.9,1092
2480C1250,2022,22,28,26,24,292.8,349.9,1664
2480C1260,2022,14,25,33,28,325.6,388.1,2059
2480C1270,2022,36,25,22,17,259.7,296.9,1200
2480C1280,2022,27,24,26,24,290.0,349.1,2520
2480C1290,2022,18,24,26,32,322.8,378.2,1494
2480C1300,2022,20,22,28,29,317.4,369.0,2216
2480C1310,2022,18,28,30,25,303.1,344.0,1789
2480C1320,2022,14,24,31,31,330.2,375.8,1443
2480C1330,2022,19,26,34,21,301.0,402.5,1600
2480C1340,2022,45,27,17,11,226.8,247.7,1843
2480C1350,2022,13,19,32,35,340.3,405.5,1495
2480C1360,2022,18,27,29,26,308.9,396.9,1303
2480C1370,2022,36,29,24,11,248.0,268.9,1688
2480C1380,2022,26,27,29,18,286.9,341.9,2338
2480C1390,2022,24,25,27,24,295.0,317.0,1000
2480C1400,2022,24,29,25,21,283.7,315.7,2062
2480C1410,2022,26,30,25,19,272.0,302.0,1450
2480C1420,2022,7,26,37,29,334.5,376.5,1154
2480C1430,2022,40,32,19,9,233.4,250.6,1752
2480C1440,2022,24,29,27,20,286.3,332.1,2431
2480C1450,2022,12,31,33,25,312.7,342.9,1890
2480C1460,2022,16,30,31,23,299.7,329.8,1580
2480C1470,2022,30,34,24,12,249.8,276.8,1466
2480C1480,2022,31,30,27,13,262.7,285.8,1141
2480C1490,2022,35,35,19,11,248.6,266.9,2156
2480C1500,2022,32,29,24,15,261.8,294.9,2255
2480C1510,2022,43,29,20,8,230.1,252.1,2327
2480C1520,2022,6,28,36,30,337.3,378.6,1569
2481A0010,2022,34,32,19,16,247.1,311.6,864
2481A0020,2022,20,31,30,19,290.1,337.1,1949
2481A0030,2022,28,33,20,19,263.8,289.4,760
2481C1010,2022,24,37,23,16,269.3,295.0,1234
2481C1020,2022,35,28,22,15,250.5,296.0,1950
2481C1030,2022,37,31,21,12,243.7,273.8,1664
2481C1040,2022,19,35,26,20,278.7,323.7,1835
2481C1050,2022,45,26,18,11,223.4,265.1,1865
2482A0010,2022,39,27,19,14,234.0,274.6,1115
2482A0020,2022,28,33,21,19,266.0,319.0,985
2482A0030,2022,20,30,29,20,289.7,318.1,1161
2482A0040,2022,26,31,25,18,273.5,305.8,1265
2482A0050,2022,19,33,29,19,288.7,316.1,1492
2482A0060,2022,14,27,30,29,316.5,372.2,1530
2482A0070,2022,20,33,26,22,283.5,326.8,1139
2482A0080,2022,13,24,27,36,335.7,412.9,1496
2482A0090,2022,18,32,29,21,292.0,328.5,1455
2482A0100,2022,15,39,26,20,283.2,331.4,1830
2482A0110,2022,20,31,29,21,291.2,331.0,1437
2482A0120,2022,32,25,25,18,266.5,319.3,1168
2482B2010,2022,23,32,25,20,278.5,319.2,1025
2482B2020,2022,17,35,31,17,288.3,314.0,1355
2482B2030,2022,19,37,30,14,275.6,299.4,859
2482B3010,2022,28,33,23,16,258.4,300.3,1107
2482B3020,2022,27,36,23,14,259.5,291.7,1440
2482B4010,2022,30,32,21,16,256.2,295.7,1749
2482B5010,2022,36,28,20,16,246.8,279.2,1566
2482B6010,2022,35,25,24,16,261.6,303.5,1646
2482C1010,2022,34,27,23,15,256.0,290.1,1651
2482C1020,2022,9,37,31,23,302.0,338.6,1587
2482C1030,2022,27,33,27,13,266.1,288.8,1481
2482C1040,2022,25,32,26,18,266.2,299.7,1374
2482C1050,2022,15,35,34,17,292.8,331.5,1279
2482C1060,2022,13,32,32,23,304.1,387.7,2258
2482C1070,2022,13,29,33,25,312.9,354.5,1296
2482C1080,2022,15,30,32,24,311.8,385.9,1274
2482C1090,2022,31,31,23,14,255.9,292.7,1534
2482C1100,2022,14,30,32,23,307.7,347.3,1451
2482C1110,2022,35,31,23,11,250.8,269.8,1633
2482C1120,2022,14,28,33,25,312.2,343.2,1989
2482C1130,2022,32,28,22,18,262.0,302.0,1316
2482C1140,2022,11,31,33,25,313.2,347.3,1527
2482C1150,2022,32,22,23,24,278.8,368.1,1758
2482C1160,2022,21,25,24,30,311.5,453.4,1246
2482C1170,2022,15,22,28,35,343.5,395.5,1258
2482C1180,2022,21,28,25,26,293.8,361.6,1697
2482C1190,2022,21,21,23,34,323.9,425.0,1502
2482C1200,2022,14,28,30,28,313.5,365.7,1775
2482C1210,2022,21,25,29,25,303.7,332.2,1501
2482C1220,2022,52,27,14,6,209.4,237.4,1579
2482C1230,2022,22,30,30,18,287.9,316.3,1120
2482C1240,2022,19,25,27,29,315.6,364.8,1487
2482C1250,2022,14,24,33,28,326.9,362.3,1343
2482C1260,2022,7,38,33,21,300.2,352.6,1271
2482C1270,2022,24,29,27,19,278.6,329.2,1722
2482C1280,2022,12,35,33,20,299.3,327.6,1737
2482C1290,2022,24,25,28,23,297.7,336.3,2202
2482C1300,2022,19,26,32,23,304.9,345.6,1200
2505A0010,2022,26,33,24,17,271.0,288.9,1612
2505C1010,2022,36,27,21,16,250.2,295.0,1350
2505C1020,2022,15,36,30,19,291.4,313.3,1500
2505C1030,2022,31,32,23,14,256.3,284.3,1566
2506A0010,2022,29,26,24,21,275.2,309.8,981
2506C1010,2022,25,32,26,17,276.6,296.4,1645
2510A0010,2022,31,27,23,18,264.6,287.9,846
2510A0020,2022,28,22,27,23,293.0,315.7,1128
2510C1010,2022,33,29,23,16,255.3,301.4,1174
2510C1020,2022,24,30,28,18,283.9,302.3,1509
2513A0010,2022,26,29,27,18,277.5,301.6,1653
2513C1010,2022,38,31,19,12,238.6,269.8,1451
2514A0010,2022,18,34,27,21,289.3,314.8,1403
2514A0020,2022,28,29,25,18,271.0,305.7,1488
2514A0030,2022,18,30,24,28,301.0,332.1,1023
2514A0040,2022,29,25,26,20,278.4,296.6,1333
2514B2010,2022,30,34,18,18,255.7,279.9,993
2514C1010,2022,16,35,26,23,291.5,315.0,965
2514C1020,2022,11,35,32,23,309.5,340.8,1059
2514C1030,2022,31,33,23,13,252.7,273.7,2000
2514C1040,2022,40,27,19,14,238.8,280.1,1860
2514C1050,2022,30,29,24,18,265.8,295.4,1716
2514C1060,2022,21,36,24,18,269.3,303.5,1679
2518A0010,2022,31,34,20,15,253.1,286.6,800
2518A0020,2022,27,24,24,25,279.3,315.3,844
2518A0030,2022,35,27,21,17,255.9,292.7,766
2518C1010,2022,34,28,21,17,252.6,290.0,1672
2521A0010,2022,38,30,16,15,241.4,266.6,780
2521A0020,2022,29,28,24,19,277.4,321.7,774
2521A0030,2022,35,26,23,16,249.9,280.3,847
2521A0040,2022,30,23,22,25,280.7,312.0,1435
2521C1010,2022,30,31,21,17,256.4,294.9,1957
2523A0010,2022,25,25,25,26,292.5,319.5,936
2523A0020,2022,27,22,25,26,293.1,314.3,939
2523A0030,2022,15,25,31,29,319.9,395.5,1883
2523B2010,2022,8,23,34,35,340.3,374.4,1223
2523C1010,2022,21,22,29,27,311.6,350.1,2519
2523C1020,2022,21,25,27,27,304.2,351.5,1847
2523C1030,2022,35,25,23,17,258.7,287.6,2064
2523C1040,2022,9,21,33,37,351.8,391.1,1878
2523C1050,2022,12,22,30,36,337.2,376.6,1434
2523C1060,2022,10,29,32,29,322.2,355.5,1434
2523C1070,2022,10,23,31,35,347.8,359.8,328
2523C1080,2022,18,27,29,26,307.3,339.0,693
2560A0010,2022,21,29,27,23,292.3,393.0,1304
2560A0020,2022,30,33,23,14,258.9,288.4,1517
2560C1010,2022,22,36,25,17,272.0,297.9,1183
2560C1020,2022,23,32,23,22,278.5,344.1,1685
2560C1030,2022,37,29,21,13,242.0,277.0,2142
2580A0010,2022,17,27,34,22,307.9,333.7,1230
2580A0020,2022,10,27,34,29,325.4,350.3,954
